,Date,Media Sources,Compound,Positive,Negative,Neutral,Tweet,Tweets Ago
105,Sat Jun 09 11:52:28 +0000 2018,@CBSNews,-0.296,0.0,0.901,0.099,@CBSNews return to sender . you think mexico wants them back ? without mexicans send money back home their be no mexico gov.,7
106,Sat Jun 09 11:52:26 +0000 2018,@CBSNews,-0.811,0.0,0.449,0.551,@CBSNews Shame on this administration!!! Shame on ICE!,8
107,Sat Jun 09 11:52:22 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,RT @CBSNews: Teen escorted from U.S. by ICE slain soon after in Mexico: Report https://t.co/JWiopRQHMA https://t.co/QDGXtfRMjl,9
108,Sat Jun 09 11:52:20 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,@MarkBadgett7 @CBSNews # https://t.co/duSns7dtox,10
109,Sat Jun 09 11:52:18 +0000 2018,@CBSNews,0.4574,0.15,0.85,0.0,@MarkBadgett7 @InformedTakes @CBSNews That’s all you got!  I’m an independent. I don’t need a party to tell me how… https://t.co/djDwxuBkwG,11
110,Sat Jun 09 11:52:11 +0000 2018,@CBSNews,-0.3008,0.0,0.643,0.357,@CBSNews One less repeat offender.,12
111,Sat Jun 09 11:52:11 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,RT @CBSNews: Teen escorted from U.S. by ICE slain soon after in Mexico: Report https://t.co/JWiopRQHMA https://t.co/QDGXtfRMjl,13
112,Sat Jun 09 11:52:08 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,RT @CBSNews: Teen escorted from U.S. by ICE slain soon after in Mexico: Report https://t.co/JWiopRQHMA https://t.co/QDGXtfRMjl,14
113,Sat Jun 09 11:52:02 +0000 2018,@CBSNews,-0.6249,0.0,0.661,0.339,@CBSNews The Chinese are alot worst than the Russians.,15
114,Sat Jun 09 11:51:59 +0000 2018,@CBSNews,-0.6597,0.0,0.481,0.519,"@CBSNews Not a U.S. problem, it's a Mexican problem.",16
115,Sat Jun 09 11:51:53 +0000 2018,@CBSNews,0.4215,0.16,0.84,0.0,RT @CBSNews: $1.5 billion in campaign support was not enough for several candidates backed by George Soros to oust the incumbent competitio…,17
116,Sat Jun 09 11:51:48 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,@InformedTakes @CBSNews So are democrats. Count up to about 58 million I believe. https://t.co/3bt7rBR57k,18
117,Sat Jun 09 11:51:48 +0000 2018,@CBSNews,0.0,0.0,1.0,0.0,RT @CBSNews: Teen escorted from U.S. by ICE slain soon after in Mexico: Report https://t.co/JWiopRQHMA https://t.co/QDGXtfRMjl,19
